target_number,cell,x,y
103,12,201.344,482.993
104,5,1094.454,87.038
105,6,91.644,287.400
106,17,1060.362,462.554
107,2,561.714,231.569
108,3,734.759,163.768
109,4,954.055,212.936
110,11,988.995,290.364
111,14,457.504,544.469
112,17,1148.553,431.929
113,13,371.751,473.037
114,6,123.320,266.032
115,9,640.161,391.784
116,5,1139.199,71.326
117,0,175.671,81.531
118,15,781.704,465.039
119,3,621.583,81.391
120,8,481.943,272.192
121,12,155.320,593.107
122,16,931.684,545.867
123,10,804.827,303.072
124,2,595.782,133.064
125,7,341.104,276.565
126,1,246.148,134.698
127,5,973.526,147.495
128,15,754.418,562.760
129,8,489.738,370.322
130,16,802.930,487.012
131,9,713.404,251.843
132,14,486.830,592.157
133,10,913.152,340.824
134,3,723.471,230.098
135,13,379.747,532.562
136,12,148.645,442.031
137,6,221.779,394.074
138,2,560.673,183.375
139,7,305.454,331.598
140,17,974.233,505.239
141,11,1095.358,308.004
142,0,180.340,122.933
143,4,835.767,73.098
144,1,285.554,164.653
145,6,109.592,235.047
146,10,882.968,281.631
147,4,926.239,185.018
148,5,1044.506,149.996
149,14,511.550,522.713
150,0,169.340,216.826
151,13,319.114,476.887
152,9,763.625,270.162
153,11,1044.592,244.277
154,8,468.757,369.062
155,15,724.295,518.239
156,12,228.551,525.865
157,16,823.149,481.283
158,7,391.362,330.724
159,2,585.962,210.562
160,1,395.529,114.842
161,17,1116.160,561.004
162,3,725.844,167.656
163,12,106.801,518.613
164,9,770.947,412.599
165,17,1063.774,551.588
166,2,594.456,103.057
167,0,140.007,207.938
168,6,52.312,263.358
169,4,941.630,103.924
170,16,849.155,569.855
171,3,773.899,60.077
172,5,981.897,171.369
173,8,450.606,262.145
174,11,1038.083,301.658
175,7,363.617,279.448
176,1,282.214,182.644
177,13,313.333,449.056
178,15,674.531,443.233
179,10,865.011,364.243
180,14,585.958,461.548
181,8,465.220,335.591
182,3,665.706,57.229
183,1,242.324,187.047
184,7,332.898,279.238
185,10,907.776,264.759
186,12,70.350,470.867
187,17,1045.528,519.481
188,15,678.658,479.187
189,14,453.582,592.904
190,9,614.523,281.369
191,4,928.415,123.248
192,6,225.640,319.784
193,0,56.529,73.941
194,5,1029.869,96.594
195,13,321.424,423.594
196,2,418.149,217.426
197,16,803.180,584.028
198,11,1149.848,241.309
199,16,907.539,588.538
200,1,327.388,51.304
201,14,459.876,470.702
202,5,973.878,225.804
203,4,909.628,127.473
204,10,806.882,412.505
205,6,182.958,266.750
206,15,610.358,583.421
207,8,515.138,355.512
208,17,1137.634,526.529
209,13,246.681,420.717
210,0,58.152,210.632
211,2,535.841,175.729
212,7,255.053,247.384
213,9,664.834,281.814
214,3,728.713,224.349
215,12,53.447,554.456
216,11,988.079,393.460
217,12,93.774,579.223
218,15,730.611,499.700
219,1,340.326,55.402
220,5,1101.970,195.761
221,8,417.854,251.577
222,2,595.198,127.038
223,16,876.031,502.529
224,3,629.561,193.583
225,13,288.696,535.571
226,14,593.428,568.273
227,9,704.522,305.878
228,4,785.405,202.587
229,11,1108.264,282.643
230,0,169.637,228.675
231,17,1048.519,571.570
232,7,380.667,246.058
233,6,54.253,296.289
234,10,795.055,376.937
235,16,827.899,436.011
236,11,1040.692,271.384
237,12,57.565,532.102
238,0,96.862,51.689
239,5,970.978,52.376
240,1,406.845,90.349
241,15,671.158,592.737
242,13,292.176,484.423
243,14,449.268,581.425
244,6,94.910,258.462
245,17,1005.489,553.567
246,7,241.390,399.516
247,8,478.312,399.839
248,9,725.808,381.736
